race,race_group,distance_km,n,median_s,mean_s,min_s,max_s,skew
10 км,10 км,10.0,1055,3615.247,3637.8766018957344,1854.714,7996.015,0.34618606984211425
21.1 км Ж,21.1 км,21.1,311,7009.921,6961.8358295819935,4459.153,8376.045,-0.5783730046892277
21.1 км М,21.1 км,21.1,954,6671.460999999999,6766.619354297694,3859.904,25764.25,3.486983741820841
5 км,5 км,5.0,862,1928.406,1913.561837587007,928.071,2524.857,-0.40839195097772824
эстафета,эстафета,21.1,39,6823.533,6875.677717948717,4066.289,9306.219,-0.21479912174045449
